Team ID,Owner First Name,Is League Creator,Playoff Seed,Final Rank,Wins,Losses,Ties,Points For,Points Against,Year
1,Andy,TRUE,11,9,3,10,0,1137,1314,2022
12,John,FALSE,7,10,7,6,0,1343,1300.5,2022
2,Joey,FALSE,10,11,3,10,0,1249.5,1424.5,2022
5,Thomas,FALSE,2,4,8,5,0,1179,1099.5,2022
3,Joe,FALSE,4,1,8,5,0,1411,1325,2022
4,JAMES,FALSE,12,12,3,10,0,942,1268.5,2022
6,Mark,FALSE,3,2,10,3,0,1477.5,1206.5,2022
11,Jacob,FALSE,8,5,6,7,0,1248,1297,2022
7,Brian,FALSE,6,8,7,6,0,1364,1308.5,2022
8,SAMEE,FALSE,1,3,10,3,0,1506.5,1353.5,2022
9,JAMES,FALSE,9,7,6,7,0,1244.5,1357,2022
10,JD,FALSE,5,6,7,6,0,1413,1260.5,2022
1,Andy,TRUE,8,5,5,8,0,1380,1417.5,2021
12,John,FALSE,1,4,12,1,0,1374,1172,2021
2,Joey,FALSE,4,2,8,5,0,1303.5,1213,2021
5,Thomas,FALSE,2,1,8,5,0,1375.5,1186.5,2021
3,Joe,FALSE,10,8,5,8,0,1237.5,1350,2021
4,JAMES,FALSE,12,11,3,10,0,1133,1312.5,2021
6,Mark,FALSE,3,3,8,5,0,1327.5,1239,2021
11,Jacob,FALSE,7,10,6,7,0,1194,1246,2021
7,Brian,FALSE,9,12,5,8,0,1247,1389.5,2021
8,SAMEE,FALSE,5,6,7,6,0,1414,1312,2021
9,JAMES,FALSE,11,9,4,9,0,1226.5,1363,2021
10,JD,FALSE,6,7,7,6,0,1202,1213.5,2021
1,Andy,TRUE,5,5,6,6,0,1347.5,1145,2020
12,John,FALSE,8,6,6,6,0,1048,1207.5,2020
2,Joey,FALSE,3,4,9,3,0,1255,1101,2020
5,Thomas,FALSE,9,8,5,7,0,1199,1213,2020
3,Joe,FALSE,12,9,3,9,0,1085,1178,2020
4,JAMES,FALSE,10,12,4,8,0,1087,1335.5,2020
6,mark,FALSE,4,1,7,5,0,1262,1283.5,2020
11,Jacob,FALSE,11,11,3,9,0,1151,1273,2020
7,Brian,FALSE,2,2,7,5,0,1298,1268,2020
8,SAMEE,FALSE,1,3,10,2,0,1508,1152,2020
9,JAMES,FALSE,7,10,6,6,0,1101.5,1153,2020
10,JD,FALSE,6,7,6,6,0,1171,1203.5,2020
1,Andy,TRUE,9,8,4,8,0,1217,1348,2019
12,John,FALSE,5,6,7,5,0,1447.5,1295.5,2019
2,Joey,FALSE,12,9,1,11,0,924,1288,2019
